Fecha,Pais,ZonaContinente,Poblacion,Confirmados,Muertos,Recuperados,Activos,NuevosConfirmados,NuevosMuertos,NuevosRecuperados,NuevosActivos,Observaciones
13/04/2020,USA,North America,331002651,587155,23644,36948,526563,0,0,0,0,NULL
13/04/2020,Spain,Europe,46754778,170099,17756,64727,87616,0,0,0,0,NULL
13/04/2020,Italy,Europe,60461826,159516,20465,35435,103616,0,0,0,0,NULL
13/04/2020,France,Europe,65273511,136779,14967,27718,94094,0,0,0,0,NULL
13/04/2020,Germany,Europe,83783942,130072,3194,64300,62578,0,0,0,0,NULL
13/04/2020,UK,Europe,67886011,88621,11329,0,77292,0,0,0,0,NULL
13/04/2020,China,Asia,1439323776,82249,3341,77738,1170,0,0,0,0,NULL
13/04/2020,Iran,Asia,83992949,73303,4585,45983,22735,0,0,0,0,NULL
13/04/2020,Turkey,Asia,84339067,61049,1296,3957,55796,0,0,0,0,NULL
13/04/2020,Belgium,Europe,11589623,30589,3903,6707,19979,0,0,0,0,NULL
13/04/2020,Netherlands,Europe,17134872,26551,2823,250,23478,0,0,0,0,NULL
13/04/2020,Switzerland,Europe,8654622,25688,1138,13700,10850,0,0,0,0,NULL
13/04/2020,Canada,North America,37742154,25680,780,7756,17144,0,0,0,0,NULL
13/04/2020,Brazil,South America,212559417,23723,1355,2971,19397,0,0,0,0,NULL
13/04/2020,Russia,Europe,145934462,18328,148,1470,16710,0,0,0,0,NULL
13/04/2020,Portugal,Europe,10196709,16934,535,277,16122,0,0,0,0,NULL
13/04/2020,Austria,Europe,9006398,14041,368,7343,6330,0,0,0,0,NULL
13/04/2020,Israel,Asia,8655535,11586,116,1855,9615,0,0,0,0,NULL
13/04/2020,Sweden,Europe,10099265,10948,919,381,9648,0,0,0,0,NULL
13/04/2020,Ireland,Europe,4937786,10647,365,25,10257,0,0,0,0,NULL
13/04/2020,S. Korea,Asia,51269185,10564,222,7534,2808,0,0,0,0,NULL
13/04/2020,India,Asia,1380004385,10453,358,1181,8914,0,0,0,0,NULL
13/04/2020,Peru,South America,32971854,9784,216,2642,6926,0,0,0,0,NULL
13/04/2020,Japan,Asia,126476461,7645,143,799,6703,0,0,0,0,NULL
13/04/2020,Ecuador,South America,17643054,7529,355,597,6577,0,0,0,0,NULL
13/04/2020,Chile,South America,19116201,7525,82,2367,5076,0,0,0,0,NULL
13/04/2020,Poland,Europe,37846611,6934,245,487,6202,0,0,0,0,NULL
13/04/2020,Romania,Europe,19237691,6633,331,914,5388,0,0,0,0,NULL
13/04/2020,Norway,Europe,5421241,6605,134,32,6439,0,0,0,0,NULL
13/04/2020,Australia,Australia/Oceania,25499884,6394,61,3494,2839,0,0,0,0,NULL
13/04/2020,Denmark,Europe,5792202,6318,285,2235,3798,0,0,0,0,NULL
13/04/2020,Czechia,Europe,10708981,6059,143,519,5397,0,0,0,0,NULL
13/04/2020,Pakistan,Asia,220892340,5707,96,1097,4514,0,0,0,0,NULL
13/04/2020,Mexico,North America,128932753,5014,332,1964,2718,0,0,0,0,NULL
13/04/2020,Saudi Arabia,Asia,34813871,4934,65,805,4064,0,0,0,0,NULL
13/04/2020,Philippines,Asia,109581078,4932,315,242,4375,0,0,0,0,NULL
13/04/2020,Malaysia,Asia,32365999,4817,77,2276,2464,0,0,0,0,NULL
13/04/2020,Indonesia,Asia,273523615,4557,399,380,3778,0,0,0,0,NULL
13/04/2020,UAE,Asia,9890402,4521,25,852,3644,0,0,0,0,NULL
13/04/2020,Serbia,Europe,8737371,4054,85,400,3569,0,0,0,0,NULL
13/04/2020,Panama,Central America,4314767,3472,94,61,3317,0,0,0,0,NULL
13/04/2020,Luxembourg,Europe,625978,3292,69,500,2723,0,0,0,0,NULL
13/04/2020,Qatar,Asia,2881053,3231,7,334,2890,0,0,0,0,NULL
13/04/2020,Dominican Republic,Antilles,10847910,3167,177,152,2838,0,0,0,0,NULL
13/04/2020,Ukraine,Europe,43733762,3102,93,97,2912,0,0,0,0,NULL
13/04/2020,Finland,Europe,5540720,3064,59,300,2705,0,0,0,0,NULL
13/04/2020,Belarus,Europe,9449323,2919,29,203,2687,0,0,0,0,NULL
13/04/2020,Singapore,Asia,5850342,2918,9,586,2323,0,0,0,0,NULL
13/04/2020,Colombia,South America,50882891,2852,112,319,2421,0,0,0,0,NULL
13/04/2020,Thailand,Asia,69799978,2579,40,1288,1251,0,0,0,0,NULL
13/04/2020,Argentina,South America,45195774,2277,98,515,1664,0,0,0,0,NULL
13/04/2020,South Africa,Africa,59308690,2272,27,410,1835,0,0,0,0,NULL
13/04/2020,Egypt,Africa,102334404,2190,164,589,1437,0,0,0,0,NULL
13/04/2020,Greece,Europe,10423054,2145,99,269,1777,0,0,0,0,NULL
13/04/2020,Algeria,Africa,43851044,1983,313,601,1069,0,0,0,0,NULL
13/04/2020,Morocco,Africa,36910560,1763,126,203,1434,0,0,0,0,NULL
13/04/2020,Moldova,Europe,4033963,1712,35,107,1570,0,0,0,0,NULL
13/04/2020,Iceland,Europe,341243,1711,8,933,770,0,0,0,0,NULL
13/04/2020,Croatia,Europe,4105267,1650,25,400,1225,0,0,0,0,NULL
13/04/2020,Hungary,Europe,9660351,1458,109,120,1229,0,0,0,0,NULL
13/04/2020,Iraq,Asia,40222493,1378,78,717,583,0,0,0,0,NULL
13/04/2020,New Zealand,Australia/Oceania,4822233,1366,NULL,NULL,1366,0,0,0,0,NULL
13/04/2020,Bahrain,Asia,1701575,1361,6,591,764,0,0,0,0,NULL
13/04/2020,Estonia,Europe,1326535,1332,28,102,1202,0,0,0,0,NULL
13/04/2020,Kuwait,Asia,4270571,1300,2,150,1148,0,0,0,0,NULL
13/04/2020,Slovenia,Europe,2078938,1212,55,152,1005,0,0,0,0,NULL
13/04/2020,Azerbaijan,Asia,10139177,1148,12,289,847,0,0,0,0,NULL
13/04/2020,Kazakhstan,Asia,18776707,1091,14,138,939,0,0,0,0,NULL
13/04/2020,Lithuania,Europe,2722289,1062,24,101,937,0,0,0,0,NULL
13/04/2020,Armenia,Asia,2963243,1039,14,211,814,0,0,0,0,NULL
13/04/2020,Bosnia,Europe,3280819,1037,39,206,792,0,0,0,0,NULL
13/04/2020,Hong Kong,Asia,7496981,1010,4,397,609,0,0,0,0,NULL
13/04/2020,Uzbekistan,Asia,33469203,998,4,85,909,0,0,0,0,NULL
13/04/2020,Macedonia,Europe,2083374,854,38,44,772,0,0,0,0,NULL
13/04/2020,Cameroon,Africa,26545863,848,12,98,738,0,0,0,0,NULL
13/04/2020,Bangladesh,Asia,164689383,803,39,42,722,0,0,0,0,NULL
13/04/2020,Slovakia,Europe,5459642,769,2,107,660,0,0,0,0,NULL
13/04/2020,Oman,Asia,5106626,727,4,124,599,0,0,0,0,NULL
13/04/2020,Cuba,Antilles,11326616,726,21,121,584,0,0,0,0,NULL
13/04/2020,Tunisia,Africa,11818619,726,34,43,649,0,0,0,0,NULL
13/04/2020,Diamond Princess,Asia,0,712,12,639,61,0,0,0,0,NULL
13/04/2020,Bulgaria,Europe,6948445,685,32,71,582,0,0,0,0,NULL
13/04/2020,Afghanistan,Asia,38928346,665,21,32,612,0,0,0,0,NULL
13/04/2020,Cyprus,Asia,1207359,662,12,65,585,0,0,0,0,NULL
13/04/2020,Latvia,Europe,1886198,655,5,16,634,0,0,0,0,NULL
