Fecha,N_Dia,PoblacionPeru,MuestrasTotal,PositivosTotal,NegativosTotal,MuestrasMolecular,PositivosMolecular,NegativoMolecular,MuestrasPruebaRapida,PositivosPruebaRapida,NegativosPruebaRapida,Hospitalizados,UCI,VentiladorMecanico,Decesos,Recuperados,Activos,Cerrados,MuestrasTotalNuevos,PositivosTotalNuevos,NegativosTotalNuevos,MuestrasMolecularNuevos,PositivosMolecularNuevos,NegativoMolecularNuevos,MuestrasPruebaRapidaNuevos,PositivosPruebaRapidaNuevos,NegativosPruebaRapidaNuevos,HospitalizadosNuevos,UCINuevos,VentiladorMecanicoNuevos,DecesosNuevos,RecuperadosNuevos,ActivosNuevos,CerradosNuevoa,N_Ventiladores,Observaciones
6/03/2020,1,32131400,155,1,154,155,1,154,0,0,0,0,0,0,0,0,1,0,155,1,154,155,1,154,0,0,0,0,0,0,0,0,1,0,276,
7/03/2020,2,32131400,219,6,213,219,6,213,0,0,0,0,0,0,0,0,6,0,64,5,59,64,5,59,0,0,0,0,0,0,0,0,5,0,276,
8/03/2020,3,32131400,220,7,213,220,7,213,0,0,0,0,0,0,0,0,7,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,276,
9/03/2020,4,32131400,318,8,310,318,8,310,0,0,0,0,0,0,0,0,8,0,98,1,97,98,1,97,0,0,0,0,0,0,0,0,1,0,276,
10/03/2020,5,32131400,346,11,335,346,11,335,0,0,0,0,0,0,0,0,11,0,28,3,25,28,3,25,0,0,0,0,0,0,0,0,3,0,276,
11/03/2020,6,32131400,714,13,701,714,13,701,0,0,0,0,0,0,0,0,13,0,368,2,366,368,2,366,0,0,0,0,0,0,0,0,2,0,276,
12/03/2020,7,32131400,905,22,883,905,22,883,0,0,0,0,0,0,0,0,22,0,191,9,182,191,9,182,0,0,0,0,0,0,0,0,9,0,276,
13/03/2020,8,32131400,1232,38,1194,1232,38,1194,0,0,0,0,0,0,0,0,38,0,327,16,311,327,16,311,0,0,0,0,0,0,0,0,16,0,276,
14/03/2020,9,32131400,1545,43,1502,1545,43,1502,0,0,0,0,0,0,0,0,43,0,313,5,308,313,5,308,0,0,0,0,0,0,0,0,5,0,276,
15/03/2020,10,32131400,1822,71,1751,1822,71,1751,0,0,0,0,0,0,0,0,71,0,277,28,249,277,28,249,0,0,0,0,0,0,0,0,28,0,276,
16/03/2020,11,32131400,2315,86,2229,2315,86,2229,0,0,0,0,0,0,0,0,86,0,493,15,478,493,15,478,0,0,0,0,0,0,0,0,15,0,276,
17/03/2020,12,32131400,2797,117,2680,2797,117,2680,0,0,0,0,0,0,0,0,117,0,482,31,451,482,31,451,0,0,0,0,0,0,0,0,31,0,276,
18/03/2020,13,32131400,3075,145,2930,3075,145,2930,0,0,0,0,0,0,0,0,145,0,278,28,250,278,28,250,0,0,0,0,0,0,0,0,28,0,276,
19/03/2020,14,32131400,3841,233,3607,3841,234,3607,0,0,0,19,0,0,3,0,230,3,766,88,677,766,89,677,0,0,0,0,0,0,3,0,85,3,276,
20/03/2020,15,32131400,4298,263,4035,4298,263,4035,0,0,0,28,5,5,4,0,259,4,457,30,428,457,29,428,0,0,0,0,0,0,1,0,29,1,276,
21/03/2020,16,32131400,4985,318,4667,4985,318,4667,0,0,0,28,5,5,5,0,313,5,687,55,632,687,55,632,0,0,0,0,0,0,1,0,54,1,276,
22/03/2020,17,32131400,6184,363,5821,6184,363,5821,0,0,0,31,5,5,5,0,357,6,1199,45,1154,1199,45,1154,0,0,0,31,5,5,1,0,44,1,276,
23/03/2020,18,32131400,6664,395,6269,6664,395,6269,0,0,0,36,10,7,5,0,389,6,480,32,448,480,32,448,0,0,0,5,5,2,0,0,32,0,276,
24/03/2020,19,32131400,7013,416,6597,7013,416,6597,0,0,0,23,14,9,7,4,405,11,349,21,328,349,21,328,0,0,0,-13,4,2,1,4,16,5,276,
25/03/2020,20,32131400,8040,480,7560,8040,480,7560,0,0,0,38,18,12,9,6,465,15,1027,64,963,1027,64,963,0,0,0,15,4,3,2,2,60,4,276,
26/03/2020,21,32131400,9219,580,8639,9219,580,8639,0,0,0,58,14,13,9,6,565,15,1179,100,1079,1179,100,1079,0,0,0,20,-4,1,0,0,100,0,276,
27/03/2020,22,32131400,10065,635,9430,10065,635,9430,0,0,0,79,21,19,11,16,608,27,846,55,791,846,55,791,0,0,0,21,7,6,2,10,43,12,276,
28/03/2020,23,32131400,10896,671,10225,10896,671,10225,0,0,0,84,33,30,16,16,639,32,831,36,795,831,36,795,0,0,0,5,12,11,5,0,31,5,276,
29/03/2020,24,32131400,12669,852,11817,12669,852,11817,0,0,0,107,40,37,18,16,818,34,1773,181,1592,1773,181,1592,0,0,0,23,7,7,2,0,179,2,276,
30/03/2020,25,32131400,13452,950,12502,13452,950,12502,0,0,0,238,49,37,24,269,657,293,783,98,685,783,98,685,0,0,0,131,9,0,6,253,-161,259,276,Solo salen hombres.
31/03/2020,26,32131400,14463,1065,13398,14463,1065,13398,0,0,0,190,57,57,30,394,641,424,1011,115,896,1011,115,896,0,0,0,-48,8,20,6,125,-16,131,276,Solo salen mujeres.
1/04/2020,27,32131400,15587,1323,14264,15587,1323,14264,0,0,0,198,56,56,47,447,829,494,1124,258,866,1124,258,866,0,0,0,8,-1,-1,17,53,188,70,276,Solo salen hombres.
2/04/2020,28,32131400,16518,1414,15104,16518,1414,15104,0,0,0,189,51,51,55,537,822,592,931,91,840,931,91,840,0,0,0,-9,-5,-5,8,90,-7,98,276,Solo salen mujeres. Se aplica segundo martillazo.
