Fecha,DiaRegion,SemanaRegion,RegionPeru,Positivos,PositivosDiaAnt,PositivosNuevos,Decesos,DecesosDiaAnt,DecesosNuevos,Observaciones
6/03/2020,1,1,Lima,1,0,1,0,0,0,
7/03/2020,2,1,Lima,6,1,5,0,0,0,
8/03/2020,3,1,Lima,7,6,1,0,0,0,
9/03/2020,4,1,Lima,7,7,0,0,0,0,
9/03/2020,1,1,Arequipa,1,0,1,0,0,0,
10/03/2020,5,1,Lima,8,7,1,0,0,0,
10/03/2020,2,1,Arequipa,1,1,0,0,0,0,
10/03/2020,1,1,Huanuco,2,0,2,0,0,0,
11/03/2020,6,1,Lima,9,8,1,0,0,0,
11/03/2020,3,1,Arequipa,1,1,0,0,0,0,
11/03/2020,1,1,Ica,1,0,1,0,0,0,
11/03/2020,2,1,Huanuco,2,2,0,0,0,0,
12/03/2020,7,2,Lima,18,9,9,0,0,0,
12/03/2020,4,1,Arequipa,1,1,0,0,0,0,
12/03/2020,2,1,Ica,1,1,0,0,0,0,
12/03/2020,3,1,Huanuco,2,2,0,0,0,0,
13/03/2020,8,2,Lima,32,18,14,0,0,0,
13/03/2020,5,1,Arequipa,2,1,1,0,0,0,
13/03/2020,1,1,Cusco,1,0,1,0,0,0,
13/03/2020,3,1,Ica,1,1,0,0,0,0,
13/03/2020,4,1,Huanuco,2,2,0,0,0,0,
14/03/2020,9,2,Lima,37,32,5,0,0,0,
14/03/2020,6,1,Arequipa,2,2,0,0,0,0,
14/03/2020,2,1,Cusco,1,1,0,0,0,0,
14/03/2020,4,1,ica,1,1,0,0,0,0,
14/03/2020,5,1,Huanuco,2,2,0,0,0,0,
15/03/2020,10,2,Lima,58,37,21,0,0,0,
15/03/2020,1,1,Callao,2,0,2,0,0,0,
15/03/2020,1,1,Ancash,1,0,1,0,0,0,
15/03/2020,7,2,Arequipa,2,2,0,0,0,0,
15/03/2020,3,1,Cusco,1,1,0,0,0,0,
15/03/2020,6,1,Huanuco,2,2,0,0,0,0,
15/03/2020,5,1,Ica,1,1,0,0,0,0,
15/03/2020,1,1,La Libertad,1,0,1,0,0,0,
15/03/2020,1,1,Lambayeque,1,0,1,0,0,0,
15/03/2020,1,1,Piura,2,0,2,0,0,0,
16/03/2020,11,2,Lima,70,58,12,0,0,0,
16/03/2020,2,1,Callao,3,2,1,0,0,0,
16/03/2020,2,1,Ancash,1,1,0,0,0,0,
16/03/2020,8,2,Arequipa,2,2,0,0,0,0,
16/03/2020,4,1,Cusco,1,1,0,0,0,0,
16/03/2020,7,2,Huanuco,2,2,0,0,0,0,
16/03/2020,6,1,Ica,1,1,0,0,0,0,
16/03/2020,2,1,La Libertad,1,1,0,0,0,0,
16/03/2020,2,1,Lambayeque,3,1,2,0,0,0,
16/03/2020,2,1,Piura,2,2,0,0,0,0,
17/03/2020,12,2,Lima,96,70,26,0,0,0,
17/03/2020,3,1,Lambayeque,6,3,3,0,0,0,
17/03/2020,3,1,Callao,4,3,1,0,0,0,
17/03/2020,3,1,Piura,2,2,0,0,0,0,
17/03/2020,9,2,Arequipa,2,2,0,0,0,0,
17/03/2020,8,2,Huanuco,2,2,0,0,0,0,
17/03/2020,3,1,Ancash,1,1,0,0,0,0,
17/03/2020,5,1,Cusco,1,1,0,0,0,0,
17/03/2020,7,2,Ica,1,1,0,0,0,0,
17/03/2020,3,1,La Libertad,1,1,0,0,0,0,
17/03/2020,1,1,Loreto,1,0,1,0,0,0,
